"Год выборов","Заголовок","Кандидат-депутат","Возраст","Год рождения","Профессия(основное)","Вторая профессия","Третья профессия","Пол","Населённый пункт","Должность","Партийный/беспартийный","Партия","Избирательный округ","Описание целиком"
"2004","Герасимчик Виктор Федорович","Кандидат","42","1962","военный техник-механик","","","м","Слоним","распределитель работ участков заказов и изготовления новой мебели отделочно-сборочного цеха открытого акционерного общества ""Слониммебель""","Партийный","ПКБ","Слонимский № 60",""
"2004","Герасимов Виктор Васильевич","Кандидат","54","1950","инженер-механик","","","м","Бобруйск","директор ОАО ""Бобруйский машиностроительный завод""","Беспартийный","","Бобруйский - Первомайский № 64",""
"2004","Галькевич Александр Борисович","Кандидат","48","1956","врач-лечебник","","","м","Барановичи","выездной врач Барановичской станции скорой и неотложной медицинской помощи","Партийный","ПКБ","Барановичский-Восточный № 5",""
"2004","Галактионов Александр Валерьевич","Кандидат","29","1975","историк","","","м","Мстислав","учитель истории Селецкой средней школы-сада","Партийный","ОГП","Горецкий № 67",""
"2004","Гайдукевич Сергей Васильевич","Кандидат","50","1954","военнослужащий","","","м","Семково","председатель ЛДП","Партийный","ЛДП","Октябрьский № 99",""
"2004","Гаврутиков Алексей Александрович","Кандидат","47","1957","юрист-правовед","","","м","Витебск","ведущий юрисконсульт Витебского УКПП котельных и тепловых сетей","Партийный","БСДП","Витебский-Чкаловский № 20",""
"2004","Гавриленко Николай Николаевич","Кандидат","44","1960","менеджер-экономист","","","м","Милошевичи","временно не работает","Партийный","ОГП","Полесский № 45",""
"2004","Габриэль Алексей Алексеевич","Кандидат","56","1948","режисер театральных коллективов","","","м","Новолукомль","стрелок ВОХР Лукомльской ГРЭС","Партийный","БСДП","Лепельский № 23",""
"2004","Воронежцев Юрий Иванович","Кандидат","49","1955","физик","","","м","Гомель","старший научный сотрудник ОДО","Партийный","ОГП","Гомельский-Центральный № 35",""
"2004","Ворон Николай Иванович","Кандидат","54","1950","учитель","","","м","Гродно","заместитель директора по маркетингу унитарного частного производственного предприятия ""Крыга"" Гродно","Партийный","БНФ","Гродненский - Занеманский № 51",""
"2004","Войтик Екатерина Васильевна","Кандидат","24","1980","математик","","","ж","Брест","временно не работает","Беспартийный","","Брестский-Западный № 1",""
"2004","Внучко Станислав Станиславович","Кандидат","32","1972","инженер","","","м","Волковыск","временно не работает","Партийный","ЛДП","Волковысский № 50",""
"2004","Внучко Роман Иосифович","Кандидат","60","1944","ученый агроном","","","м","Минск","председатель Наблюдательного совета ОАО ""Белагропромбанк""","Беспартийный","","Лепельский № 23",""
"2004","Виноградов Александр Сергеевич","Кандидат","31","1973","врач","","","м","Витебск","врач УЗ ""Витебская городская станция скорой и неотложной медицинской помощи""","Партийный","ПКБ","Витебский-Чкаловский № 20",""
"2004","Вечерка Валентин Григорьевич","Кандидат","43","1961","филолог","","","м","Минск","заместитель главного редактора журнала ""Спадчына""","Партийный","БНФ","Восточный № 107",""
"2004","Вершалович Лариса Георгиевна","Кандидат","48","1956","врач-терапевт","","","ж","Лунинец","заместитель главного врача Лунинецкого РТМО по амбулаторно-поликлинической работе","Беспартийный","","Лунинецкий № 12",""
"2004","Величко Олег Иванович","Кандидат","45","1959","хирург","","","м","Брест","главный врач ГЛПУ ""Брестская городская больница скорой медицинской помощи""","Беспартийный","","Брестский-Западный № 1",""
"2004","Ванькович Анатолий Степанович","Кандидат","46","1958","военнослужащий","","","м","Барановичи","начальник Главного штаба - первый заместитель командующего ВВС и войсками ПВО Вооруженных сил Республики Беларусь","Беспартийный","","Барановичский-Западный № 4",""
