"Год выборов","Заголовок","Кандидат-депутат","Возраст","Год рождения","Профессия(основное)","Вторая профессия","Третья профессия","Пол","Населённый пункт","Должность","Партийный/беспартийный","Партия","Избирательный округ","Описание целиком"
"2000","Азарченков Александр Михайлович","Депутат","56","1944","инженер-механик","","","м","Витебск","член Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по аграрным вопросам","Партийный","Аграрная партия","Толочинский","АЗАРЧЕНКОВ Александр Михайлович, 1944 года рождения, инженер-механик, член Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по аграрным вопросам, г.Витебск, член Аграрной партии, Толочинский избирательный округ No31"
"2000","Александрович Владимир Александрович","Депутат","43","1957","учится","","","м","Минск","генеральный директор ИП «ИТЕРА-Бел»","Партийный","Белорусская социально-спортивная партия","Менделеевский","АЛЕКСАНДРОВИЧ Владимир Александрович, 1957 года рождения, учится в Белорусском негосударственном институте правоведения, генеральный директор ИП «ИТЕРА-Бел», г.Минск, член Белорусской социально-спортивной партии, Менделеевский избирательный округ No109"
"2000","Ананьев Роман Владиславович","Депутат","36","1964","техник-механик","","","м","Минск","президент ЗАО «Белнефтегаз»","Беспартийный","","Лепельский","АНАНЬЕВ Роман Владиславович, 1964 года рождения, техник-механик, президент ЗАО «Белнефтегаз», г.Минск, беспартийный, Лепельский избирательный округ No23"
"2000","Боровой Михаил Иванович","Депутат","44","1956","инженер","","","м","Минск","президент ЗАО «БелАвтогаз»","Беспартийный","","Дзержинский","БОРОВОЙ Михаил Иванович, 1956 года рождения, инженер, президент ЗАО «БелАвтогаз», г.Минск, беспартийный, Дзержинский избирательный округ No80"
"2000","Глуховский Леонид Викторович","Депутат","39","1961","юрист","","","м","Минск","заместитель Министра внутренних дел – начальник Следственного комитета при Министерстве внутренних дел","Беспартийный","","Гомельский-Промышленный","ГЛУХОВСКИЙ Леонид Викторович, 1961 года рождения, юрист, заместитель Министра внутренних дел – начальник Следственного комитета при Министерстве внутренних дел, г.Минск, беспартийный, Гомельский-Промышленный избирательный округ No37"
"2000","Делендик Владимир Викторович","Депутат","48","1952","бухгалтер-экономист","","","м","Минск","генеральный директор производственного унитарного частного предприятия «Дарида»","Беспартийный","","Минский сельский","ДЕЛЕНДИК Владимир Викторович, 1952 года рождения, бухгалтер-экономист, генеральный директор производственного унитарного частного предприятия «Дарида», г.Минск, беспартийный, Минский сельский избирательный округ No85"
"2000","Дервенков Владимир Иванович","Депутат","43","1957","инженер","менеджер-экономист","","м","Гомель","глава администрации Центрального района г.Гомеля","Беспартийный","","Гомельский-Центральный","ДЕРВЕНКОВ Владимир Иванович, 1957 года рождения, инженер, менеджер-экономист, глава администрации Центрального района г.Гомеля, г.Гомель, беспартийный, Гомельский- Центральный избирательный округ No35"
"2000","Дубовик Николай Николаевич","Депутат","45","1955","юрист","инженер-педагог","","м","Минск","заместитель председателя Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по труду, социальным вопросам, охране здоровья, физической культуре и спорту","Беспартийный","","Столбцовский","ДУБОВИК Николай Николаевич, 1955 года рождения, юрист, инженер-педагог, заместитель председателя Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по труду, социальным вопросам, охране здоровья, физической культуре и спорту, г.Минск, беспартийный, Столбцовский избирательный округ No92"
"2000","Дунич Николай Владимирович","Депутат","50","1950","менеджер-экономист","","","м","Трабы","председатель Ивьевского райисполкома","Беспартийный","","Ивьевский","ДУНИЧ Николай Владимирович, 1950 года рождения, экономист-менеджер, председатель Ивьевского райисполкома, Ивьевский район, д.Трабы, беспартийный, Ивьевский избирательный округ No55"
"2000","Захарченко Валерий Николаевич","Депутат","50","1950","инженер-строитель","","","м","Брест","заместитель председателя Брестского облисполкома","Партийный","КПБ","Мухавецкий","ЗАХАРЧЕНКО Валерий Николаевич, 1950 года рождения, инженер-строитель, заместитель председателя Брестского облисполкома, г.Брест, член КПБ, Мухавецкий избирательный округ No13"
"2000","Зданович Владимир Матвеевич","Депутат","41","1959","радиофизик","учитель","","м","Дрогичин","директор гимназии г.Дрогичина","Беспартийный","","Дрогичинский","ЗДАНОВИЧ Владимир Матвеевич, 1959 года рождения, радиофизик, учитель, директор гимназии г.Дрогичина, г.Дрогичин, беспартийный, Дрогичинский избирательный округ No9"
"2000","Зинченко Александр Николаевич","Депутат","53","1947","экономист","","","м","Минск","председатель Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по бюджету и финансам","Беспартийный","","Беловежский","ЗИНЧЕНКО Александр Николаевич, 1947 года рождения, экономист, председатель Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по бюджету и финансам, г.Минск, беспартийный, Беловежский избирательный округ No 7"
"2000","Исаев Владимир Михайлович","Депутат","46","1954","врач","","","м","Полоцк","главный врач Полоцкого территориального медицинского объединения","Беспартийный","","Полоцкий городской","ИСАЕВ Владимир Михайлович, 1954 года рождения, врач, главный врач Полоцкого территориального медицинского объединения, г.Полоцк, беспартийный, Полоцкий городской избирательный округ No28"
"2000","Калугин Петр Алексеевич","Депутат","59","1941","инженер-шахтостроитель","","","м","Солигорск","","Беспартийный","","Солигорский городской","КАЛУГИН Петр Алексеевич, 1941 года рождения, инженер-шахтостроитель, генеральный директор ПО «Беларуськалий», г.Солигорск Минской области, беспартийный, Солигорский городской избирательный округ No91"
"2000","Коноплев Владимир Николаевич","Депутат","46","1954","учитель","","","м","Минск","заместитель Председателя Палаты представителей Национального собрания Республики Беларусь","Беспартийный","","Шкловский","КОНОПЛЕВ Владимир Николаевич, 1954 года рождения, учитель, заместитель Председателя Палаты представителей Национального собрания Республики Беларусь, г.Минск, беспартийный, Шкловский избирательный округ No75"
"2000","Котляров Игорь Васильевич","Депутат","52","1948","инженер","социолог","политолог","м","Минск","заместитель председателя Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по правам человека и национальным отношениям","Партийный","КПБ","Пуховичский","КОТЛЯРОВ Игорь Васильевич, 1948 года рождения, инженер, социолог, политолог, заместитель председателя Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по правам человека и национальным отношениям, г.Минск, член КПБ, Пуховичский избирательный округ No89"
"2000","Крючков Валентин Петрович","Депутат","52","1948","инженер","","","м","Минск","председатель Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по проблемам чернобыльской катастрофы, экологии и природопользования","Партийный","Аграрная партия","Буда-Кошелевский","КРЮЧКОВ Валентин Петрович, 1948 года рождения, инженер, председатель Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по проблемам чернобыльской катастрофы, экологии и природопользования, г.Минск, член Аграрной партии, Буда-Кошелевский избирательный округ No40"
"2000","Кулик Виталий Васильевич","Депутат","42","1958","менеджер-экономист","","","м","Речица","директор ООО «Речицкий комбинат хлебопродуктов»","Партийный","Аграрная партия","Хойникский","КУЛИК Виталий Васильевич, 1958 года рождения, экономист-менеджер, директор ООО «Речицкий комбинат хлебопродуктов», г.Речица, член Аграрной партии, Хойникский избирательный округ No49"
"2000","Куцко Николай Васильевич","Депутат","46","1954","инженер-механик","менеджер-экономист","","м","Речица","председатель Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по аграрным вопросам","Партийный","Аграрная партия","Речицкий","КУЦКО Николай Васильевич, 1954 года рождения, инженер-механик, менеджер- экономист, председатель Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по аграрным вопросам, г.Речица, член Аграрной партии, Речицкий избирательный округ No46"
"2000","Кучинский Виктор Францевич","Депутат","42","1958","историк","юрист","менеджер-экономист","м","Минск","помощник Президента Республики Беларусь – директор Департамента по гуманитарной деятельности при Президенте Республики Беларусь","Беспартийный","","Кобринский","КУЧИНСКИЙ Виктор Францевич, 1958 года рождения, историк, юрист, экономист- менеджер, помощник Президента Республики Беларусь – директор Департамента по гуманитарной деятельности при Президенте Республики Беларусь, г.Минск, беспартийный, Кобринский избирательный округ No 11"
"2000","Лекторов Валерий Николаевич","Депутат","53","1947","врач","","","м","Витебск","начальник управления здравоохранения Витебского облисполкома","Беспартийный","","Шумилинский","ЛЕКТОРОВ Валерий Николаевич, 1947 года рождения, врач, начальник управления здравоохранения Витебского облисполкома, г.Витебск, беспартийный, Шумилинский избирательный округ No32"
"2000","Липкин Валерий Федорович","Депутат","49","1951","агроном","","","м","Кадино","генеральный директор агроторговой фирмы «Днепр»","Беспартийный","","Могилевский","ЛИПКИН Валерий Федорович, 1951 года рождения, агроном, генеральный директор агроторговой фирмы «Днепр», д.Кадино, беспартийный, Могилевский избирательный округ No73"
"2000","Малофеев Анатолий Александрович","Депутат","67","1933","экономист","","","м","Минск","Председатель Палаты представителей Национального собрания Республики Беларусь","Беспартийный","","Мозырский","МАЛОФЕЕВ Анатолий Александрович, 1933 года рождения, экономист, Председатель Палаты представителей Национального собрания Республики Беларусь, г.Минск, беспартийный, Мозырский избирательный округ No44"
"2000","Морозов Владимир Иванович","Депутат","50","1950","учитель","военнослужащий","","м","Минск","заместитель начальника Управления Комитета государственной безопасности Республики Беларусь по Могилевской области","Беспартийный","","Быховский","МОРОЗОВ Владимир Иванович, 1950 года рождения, учитель, военнослужащий, заместитель начальника Управления Комитета государственной безопасности Республики Беларусь по Могилевской области, г.Минск, беспартийный, Быховский избирательный округ No66"
"2000","Орда Михаил Сергеевич","Депутат","34","1966","врач","","","м","Минск","второй секретарь ЦК БПСМ","Беспартийный","","Лидский сельский","ОРДА Михаил Сергеевич, 1966 года рождения, врач, второй секретарь ЦК БПСМ, г.Минск, беспартийный, Лидский сельский избирательный округ No57"
"2000","Пашкевич Иван Иванович","Депутат","45","1955","журналист","","","м","Минск","член Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по международным делам и связям с СНГ","Беспартийный","Партия народного согласия","Столинский","ПАШКЕВИЧ Иван Иванович, 1955 года рождения, журналист, член Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по международным делам и связям с СНГ, г.Минск, член Партии народного согласия, Столинский избирательный округ No16"
"2000","Попов Вадим Александрович","Депутат","60","1940","инженер-механик","","","м","Могилев","Министр сельского хозяйства и продовольствия Республики Беларусь","Беспартийный","","Осиповичский","ПОПОВ Вадим Александрович, 1940 года рождения, инженер-механик, Министр сельского хозяйства и продовольствия Республики Беларусь, г.Могилев, беспартийный, Осиповичский избирательный округ No74"
"2000","Порошин Сергей Иванович","Депутат","40","1960","преподаватель","","","м","Гомель","заместитель главы администрации Советского района г.Гомеля","Беспартийный","","Гомельский-Советский","ПОРОШИН Сергей Иванович, 1960 года рождения, преподаватель, заместитель главы администрации Советского района г.Гомеля, г.Гомель, беспартийный, Гомельский-Советский избирательный округ No36"
"2000","Протащик Мария Семеновна","Депутат","52","1948","юрист","","","ж","Гродно","председатель Комитета государственного контроля Гродненской области","Беспартийный","","Новогрудский","ПРОТАЩИК Мария Семеновна, 1948 года рождения, юрист, председатель Комитета государственного контроля Гродненской области, г.Гродно, беспартийная, Новогрудский избирательный округ No59"
"2000","Розынко Петр Михайлович","Депутат","58","1942","ветеринарный врач","","","м","Поставы","депутат Палаты представителей Национального собрания Республики Беларусь","Беспартийный","","Поставский","РОЗЫНКО Петр Михайлович, 1942 года рождения, ветеринарный врач, депутат Палаты представителей Национального собрания Республики Беларусь, г.Поставы, беспартийный, Поставский избирательный округ No30"
"2000","Семененя Иван Георгиевич","Депутат","44","1956","юрист","правовед","","м","Любань","заведующий Любанской юридической консультацией","Беспартийный","","Любанский","СЕМЕНЕНЯ Иван Георгиевич, 1956 года рождения, юрист, правовед, заведующий Любанской юридической консультацией, г.Любань Минской области, беспартийный, Любанский избирательный округ No84"
"2000","Семенюк Владимир Дмитриевич","Депутат","44","1956","инженер","","","м","Щучин","директор государственного лесохозяйственного учреждения «Щучинский лесхоз»","Беспартийный","","Щучинский","СЕМЕНЮК Владимир Дмитриевич, 1956 года рождения, инженер, директор государственного лесохозяйственного учреждения «Щучинский лесхоз», г.Щучин, беспартийный, Щучинский избирательный округ No62"
"2000","Симирский Валентин Романович","Депутат","54","1946","учитель","юрист","","м","Минск","помощник заместителя Председателя Палаты представителей Национального собрания Республики Беларусь, генеральный директор Швейцарского представительства АО «Неллант»","Беспартийный","","Костюковичский","СИМИРСКИЙ Валентин Романович, 1946 года рождения, учитель, юрист, помощник заместителя Председателя Палаты представителей Национального собрания Республики Беларусь, генеральный директор Швейцарского представительства АО «Неллант», г.Минск, беспартийный, Костюковичский избирательный округ No68"
"2000","Соловьев Анатолий Михайлович","Депутат","46","1954","юрист","","","м","Гомель","заместитель начальника управления внутренних дел Гомельского облисполкома","Беспартийный","","Гомельский сельский","СОЛОВЬЕВ Анатолий Михайлович, 1954 года рождения, юрист, заместитель начальника управления внутренних дел Гомельского облисполкома, г.Гомель, беспартийный, Гомельский сельский избирательный округ No39"
"2000","Ткачук Наталья Александровна","Депутат","52","1948","врач","","","ж","Дисна","главный врач Дисненской районной больницы Миорского территориального медицинского объединения","Беспартийный","","Миорский","ТКАЧУК Наталья Александровна, 1948 года рождения, врач, главный врач Дисненской районной больницы Миорского территориального медицинского объединения, г.Дисна, беспартийная, Миорский избирательный округ No24"
"2000","Фролов Валерий Дмитриевич","Депутат","53","1947","военнослужащий","","","м","Гродно","находится в распоряжении Министра обороны Республики Беларусь","Беспартийный","","Гродненский сельский","ФРОЛОВ Валерий Дмитриевич, 1947 года рождения, военнослужащий, находится в распоряжении Министра обороны Республики Беларусь, г.Гродно, беспартийный, Гродненский сельский избирательный округ No54"
"2000","Хрол Василий Петрович","Депутат","43","1957","инженер-конструктор-технолог","менеджер-экономист","юрист","м","Минск","заместитель председателя Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по вопросам экономики","Беспартийный","","Глубокский","ХРОЛ Василий Петрович, 1957 года рождения, инженер-конструктор-технолог, экономист- менеджер, юрист, заместитель председателя Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по вопросам экономики, г.Минск, беспартийный, Глубокский избирательный округ No22"
"2000","Худая Мария Николаевна","Депутат","60","1940","бухгалтер-экономист","педагог","","ж","Минск","заместитель председателя Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по проблемам чернобыльской катастрофы, экологии и природопользованию","Беспартийный","","Несвижский","ХУДАЯ Мария Николаевна, 1940 года рождения, бухгалтер-экономист, педагог, заместитель председателя Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по проблемам чернобыльской катастрофы, экологии и природопользованию, г.Минск, беспартийная, Несвижский избирательный округ No88"
"2000","Часнойть Роберт Александрович","Депутат","46","1954","врач","","","м","Гродно","начальник управления охраны здоровья Гродненского облисполкома","Беспартийный","","Сморгонский","ЧАСНОЙТЬ Роберт Александрович, 1954 года рождения, врач, начальник управления охраны здоровья Гродненского облисполкома, г.Гродно, беспартийный, Сморгонский избирательный округ No61"
"2000","Чечора Александр Васильевич","Депутат","44","1956","экономист","","","м","Могилев","генеральный директор ПО «Могилевнефтепродукт»","Беспартийный","","Кричевский","ЧЕЧОРА Александр Васильевич, 1956 года рождения, экономист, генеральный директор ПО «Могилевнефтепродукт», г.Могилев, беспартийный, Кричевский избирательный округ No69"
"2000","Янчевский Всеволод Вячеславович","Депутат","24","1976","юрист","","","м","Минск","первый секретарь ЦК БПСМ","Беспартийный","","Слуцкий","ЯНЧЕВСКИЙ Всеволод Вячеславович, 1976 года рождения, юрист, первый секретарь ЦК БПСМ, г.Минск, беспартийный, Слуцкий избирательный округ No90"
"2000","Абрамова Ольга Михайловна","Депутат","47","1953","социолог","","","ж","Минск","директор научных и образовательных программ аналитического центра «Стратегия»","Беспартийный","","Восточный","АБРАМОВА Ольга Михайловна, 1953 года рождения, социолог, директор научных и образовательных программ аналитического центра «Стратегия», г.Минск, беспартийная, Восточный избирательный округ No 106"
"2000","Авдеева Наталья Петровна","Депутат","43","1957","учитель","режиссер","","ж","Могилев","председатель Могилевского обкома профсоюза работников культуры","Беспартийный","","Могилевский-Центральный","АВДЕЕВА Наталья Петровна, 1957 года рождения, учитель, режиссер, председатель Могилевского обкома профсоюза работников культуры, г.Могилев, беспартийная, Могилевский-Центральный избирательный округ No 71"
"2000","Андреев Юрий Иванович","Депутат","46","1954","военнослужащий","","","м","Пинск","командир в/ч 1235","Беспартийный","","Пинский городской","АНДРЕЕВ Юрий Иванович, 1954 года рождения, военнослужащий, командир в/ч 1235, г.Пинск, беспартийный, Пинский городской избирательный округ No 14"
"2000","Аникеев Михаил Михайлович","Депутат","51","1949","агроном","","","м","Горки","доцент кафедры растениеводства БСХА","Партийный","КПБ","Горецкий","АНИКЕЕВ Михаил Михайлович, 1949 года рождения, агроном, доцент кафедры растениеводства БСХА, г.Горки, член КПБ, Горецкий избирательный округ No 67"
"2000","Архипов Александр Михайлович","Депутат","41","1959","юрист","","","м","Могилев","прокурор Ленинского района, г.Могилев","Беспартийный","","Могилевский-Ленинский","АРХИПОВ Александр Михайлович, 1959 года рождения, юрист, прокурор Ленинского района, г.Могилев, беспартийный, Могилевский-Ленинский избирательный округ No 70"
"2000","Астапченко Юрий Леонидович","Депутат","55","1945","экономист","","","м","Минск","генеральный директор – председатель совета директоров концерна «Белресурсы»","Беспартийный","","Гомельский-Сельмашевский","АСТАПЧЕНКО Юрий Леонидович, 1945 года рождения, экономист, генеральный директор – председатель совета директоров концерна «Белресурсы», г.Минск, беспартийный, Гомельский-Сельмашевский избирательный округ No 34"
"2000","Баслык Игорь Владимирович","Депутат","38","1962","инженер-экономист","","","м","Выгаловичи","директор птицефабрики «Заря коммунизма»","Беспартийный","","Вилейский","БАСЛЫК Игорь Владимирович, 1962 года рождения, инженер-экономист, директор птицефабрики «Заря коммунизма», д. Выгаловичи Мядельского района Минской области, беспартийный, Вилейский избирательный округ No 79"
"2000","Биккинин Борис Степанович","Депутат","53","1947","военнослужащий","","","м","Барановичи","заместитель Министра по чрезвычайным ситуациям Республики Беларусь","Беспартийный","","Барановичский сельский","БИККИНИН Борис Степанович, 1947 года рождения, военнослужащий, заместитель Министра по чрезвычайным ситуациям Республики Беларусь, г.Барановичи, беспартийный, Барановичский сельский избирательный округ No6"
"2000","Бобков Анатолий Константинович","Депутат","53","1947","экономист","юрист","","м","Бобруйск","председатель Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по законодательству","Беспартийный","","Бобруйский","БОБКОВ Анатолий Константинович, 1947 года рождения, экономист, юрист, председатель Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по законодательству, г.Бобруйск, беспартийный, Бобруйский избирательный округ No65"
"2000","Бородко Николай Иванович","Депутат","48","1952","врач","","","м","Гомель","врач территориального медицинского объединения No 3, г.Гомель","Беспартийный","","Гомельский-Новобелецкий","БОРОДКО Николай Иванович, 1952 года рождения, врач, врач территориального медицинского объединения No 3, г.Гомель, беспартийный, Гомельский-Новобелецкий изби- рательный округ No 38"
"2000","Бурова Анна Николаевна","Депутат","49","1951","химик","","","ж","Гродно","директор дочернего унитарного предприятия «Производственный торговый комбинат «Волна» Гродненского рес- публиканского унитарного предприятия «Радиоволна»","Беспартийный","","Гродненский-Северный","БУРОВА Анна Николаевна, 1951 года рождения, химик, директор дочернего унитарного предприятия «Производственный торговый комбинат «Волна» Гродненского рес- публиканского унитарного предприятия «Радиоволна», г.Гродно, беспартийная, Гродненский- Северный избирательный округ No 53"
"2000","Ваганов Алексей Васильевич","Депутат","40","1960","физик","","","м","Минск","генеральный директор совместного предприятия «Лада-ОМС»","Партийный","ЛДП","Есенинский","ВАГАНОВ Алексей Васильевич, 1960 года рождения, физик, генеральный директор совместного предприятия «Лада-ОМС», г.Минск, член ЛДП, Есенинский избирательный ок- руг No 99"
"2000","Винокурова Мария Михайловна","Депутат","61","1939","инженер-строитель","","","ж","Бобруйск","директор арендного предприятия «Бобруйский завод крупнопанельного домостроения»","Беспартийный","","Бобруйский-Первомайский","ВИНОКУРОВА Мария Михайловна, 1939 года рождения, инженер-строитель, директор арендного предприятия «Бобруйский завод крупнопанельного домостроения», г.Бобруйск, беспартийная, Бобруйский-Первомайский избирательный округ No 64"
"2000","Горгун Василий Степанович","Депутат","52","1948","зооинженер","учитель","","м","Любань","депутат Палаты представителей Национального собрания Республики Беларусь","Партийный","Республиканская партия труда и справедливости","Лунинецкий","ГОРГУН Василий Степанович, 1948 года рождения, зооинженер, учитель, депутат Палаты представителей Национального собрания Республики Беларусь, д.Любань Лунинец-кого района, член Республиканской партии труда и справедливости, Лунинецкий избирательный округ No 12"
"2000","Говорушкин Станислав Николаевич","Депутат","39","1961","врач","","","м","Минск","начальник управления охраны здоровья Минского облисполкома","Беспартийный","","Молодечненский городской","ГОВОРУШКИН Станислав Николаевич, 1961 года рождения, врач, начальник управления охраны здоровья Минского облисполкома, г.Минск, беспартийный, Молодечненский городской избирательный округ No 86"
"2000","Голубева Татьяна Геннадьевна","Депутат","53","1947","инженер-технолог","","","ж","Минск","заместитель Министра архитектуры и строительства Республики Беларусь","Беспартийный","","Витебский сельский","ГОЛУБЕВА Татьяна Геннадьевна, 1947 года рождения, инженер-технолог, заместитель Министра архитектуры и строительства Республики Беларусь, г.Минск, беспартийная, Витебский сельский избирательный округ No 21"
"2000","Дубовик Сергей Валентинович","Депутат","48","1952","учитель","менеджер-экономист","","м","Минск","главный редактор газеты «Рэспубліка»","Беспартийный","","Копыльский","ДУБОВИК Сергей Валентинович, 1952 года рождения, учитель, менеджер-экономист, главный редактор газеты «Рэспубліка», г.Минск, беспартийный, Копыльский избирательный округ No 82"
"2000","Дылевский Геннадий Юльянович","Депутат","38","1962","юрист","","","м","Минск","генеральный директор ООО «Владыко» г.Минск","Беспартийный","","Мостовский","ДЫЛЕВСКИЙ Геннадий Юльянович, 1962 года рождения, юрист, генеральный директор ООО «Владыко» г.Минск, г.Минск, беспартийный, Мостовский избирательный округ No 58"
